a2b.night_bonus;當你的部隊抵達時，對方將有晚間防守加成！其加成為 {{BONUS}}%。
a2b.truppen_schicken;派遣部隊
a2b.unterstuetzung;增援
a2b.angriff_normal;攻擊：正常
a2b.angriff_raubzug;攻擊：搶奪
a2b.dorf;村莊：
a2b.einheiten_schon_da;你的軍隊已經在{{NAME}}
a2b.kein_dorf_auf_koordinaten;這個座標沒有村莊
a2b.dorf_existiert_nicht;沒有村莊以這個名字命名
a2b.keine_einheiten;隊伍未被選擇
a2b.koordinaten_eingeben;輸入座標或村莊名字
a2b.anfaengerschutz_bis_zum;新手保護直到
a2b.gesperrt_regel;玩家 {{NAME}} 因違反規則而被封鎖
a2b.gesperrt_inaktiv;玩家 {{NAME}} 因不活躍而被封鎖
a2b.gesperrt_urlaub;玩家 {{NAME}} 正啟動了假期模式
a2b.unterstuetzung_fuer;增援到 {{NAME}}
a2b.ausspaehen_von;偵察 {{NAME}}
a2b.angriff_auf;正在攻擊 {{NAME}}
a2b.raubzug_gegen;正在搶奪 {{NAME}}
a2b.verlassenes_tal_erkunden;掠奪荒廢之綠州
a2b.verlassenes_tal_spionieren;探查荒廢的綠州
a2b.besetztes_tal;被佔領的綠州
a2b.besetztes_tal_ft;被佔領的綠州
a2b.ziel;目標：
a2b.spieler;玩家：
a2b.einheiten;軍隊
a2b.optionen;選項
a2b.rohstoffe_und_truppen_ausspaehen;偵察資源和軍隊
a2b.verteidigungsanlagen_und_truppen_ausspaehen;偵察防禦設施和軍隊
a2b.wird_vom_katapult_beschossen;將由投石機攻擊
a2b.zufall;隨機
a2b.info;資訊
a2b.beim_raubzug_schiesst_katapult_nicht;搶奪攻擊時，投石機並不會作出攻擊
a2b.ankunft;到達
a2b.in;在
a2b.um;在
a2b.std;小時
a2b.neue_siedlung_gruenden;開拓新村
a2b.text_siedeln;開拓者將會佔領新土地以建立新村莊。<br>為了建立新村莊，他們需要 750 個單位的木材、泥土、鋼鐵和穀物。
a2b.text_siedeln_keine_siedler;您在這個村莊內暫時沒有開拓者
a2b.core_siedeln_warning;警告！如您在這些坐標建立新村莊，賴達族將發動襲擊驅逐你離開他們的佔領區。<br>一切位於賴達佔領區的村莊將不會產生任何文明點。
a2b.gruendung_einer_neuen_siedlung;建立一個新村莊
a2b.drei_siedler;3 個開拓者
a2b.rohstoffe;資源
a2b.dauer;需時
a2b.zu_wenig_rohstoffe;資源不足
a2b.zu_wenig_kulturpunkte;文明點不足
a2b.truppen_nach_hause_schicken;撤回軍隊
a2b.truppen_von;由 {{NAME}} 來的支援部隊
a2b.eigene_truppen;自軍
a2b.oder;或
a2b.slots_used_overview;在{{USED}}個的出兵名額中已用了{{MAX}} 個。
a2b.slots_full;已使用全部出兵名額。
a2b.adventure;冒險
a2b.text_adventure;請帶您的英雄出發冒險。憑藉一點運氣，您可以找到英雄合用的物品和設備。
a2b.du_greifst_einen_freund_an;警告！難道您真的要攻擊的您的朋友嗎？
a2b.attackYourself;警告！你是否確定要攻擊自己的村莊？
a2b.mit_dem_angriff_verlierst_du_den_noobschutz;警告！如果您開始發動攻擊，您將會即時失去初學者的保護期。
a2b.mit_angriff_verlierst_du_den_noobschutz_raidList;警告！如果您開始發動攻擊，您將會即時失去初學者的保護期。
a2b.mit_dem_angriff_verlierst_du_den_noobschutz_bestaetigen;您真的想放棄您的新手保護期？
a2b.send;發送
a2b.sendConfirm;確認
a2b.sendBackOther;送回
a2b.sendBackMy;取消
a2b.sendSettlers;代管人
a2b.sendAdventure;開始歷險
a2b.errorSupportNatars;賴達族的村莊是不能被增援的。
a2b.errorTroopLimitReached;你不能有超過{{LIMIT}}項突襲或攻擊軍隊行動。
a2b.errorTroopLimitReachedForeignUser;對方已達移動部隊上限，因此你不可送回。
a2b.errorTroopLimitForVillageReached;你不可在同一村莊、同一時間內發出多於 {{LIMIT}} 波的攻擊。
a2b.redeployHero;更改英雄的註地
a2b.redeployHeroMissingVersammlungsplatz;如要更改英雄的註地，請先建造集結點。
a2b.redeployHeroMissingHero;並沒有選擇須轉村的英雄。
a2b.redeployHeroTargetVillageNotOwnOrHasNoRallyPoint;英雄只可轉移至有集結點的村莊。
a2b.redeployHeroSuccess;轉移成功！ {{TARGET_VILLAGE}} 將成為英雄的新駐地
a2b.villageChangedWhileSendingTroops;英雄駐地已更改。
a2b.keine_ziele_verfügbar;投石車未能找到攻擊對象。
a2b.cannotAttackMainNatarVillage;你不可以攻擊這個賴達族的村莊。
a2b.noAttackWhileOwnNoobProtectionActive;你不能攻擊其他玩家，因為你尚處於新手保護期。
a2b.noRaidWhileOwnNoobProtectionActive;你不能掠奪其他玩家，因為你尚處於新手保護期。
a2b.noSupportWhileOwnNoobProtectionActive;你不能增援其他玩家，因為你尚處於新手保護期。
a2b.noAttackWhileEnemyNoobProtectionActive;當其他玩家處於新手保護期，你就不能攻擊他。
a2b.noRaidWhileEnemyNoobProtectionActive;當其他玩家處於新手保護期，你就不能掠奪他。
a2b.noSupportWhileEnemyNoobProtectionActive;當其他玩家處於新手保護期，你就不能增援他。
a2b.no_support_attack_raid_while_own_noob_protection_active;你不能增援/攻擊/掠奪其他玩家，因為你還處於新手保護期。
a2b.capital_not_attackable;你不能攻擊一個古代都市
a2b.player_is_in_vacation_mode;當其他玩家處於休假模式的時候，你就不能給他發送部隊。
a2b.ancient_city_not_attackable;你不能攻擊古代城市。
a2b.forward_reinforcements;轉發支援部隊
a2b.forward_usesendback;部隊不能被轉發到擁有者那裡。為此請使用"送回"。
a2b.errorForwardOnlyToOwnAlliance;你只能在自己聯盟內部派送軍隊。
a2b.mergeTroops_button_merge;合併入村莊
a2b.mergeTroops_button_merge_resources;使用資源進行合併
a2b.mergeTroops_button_merge_gold_text;合併需花費
a2b.mergeTroops_button_merge_gold_hover;合併需花費 {{GOLD}} 枚金幣
a2b.mergeTroops_description;將你的軍隊和這個村莊內的軍隊合併，從而這些軍隊可以與在這個村莊內訓練的軍隊一樣使用。合併軍隊需要支付資源或者金幣。合併的軍隊會得到新村莊內盔甲廠的研究等級。
a2b.mergeTroops_home_village;新的從屬村莊為:
a2b.mergeTroops_choose_troops;請選擇合併多少軍隊。
a2b.mergeTroops_costs_resources;費用:
a2b.mergeTroops_reinforcement_from_village;支援來自於: {{VILLAGE}}
a2b.forward_reinforcements_to;轉移支援至 {{NAME}}
a2b.mergeTroops_button_limit_will_be_exceeded;合併該數量的軍隊將超出每日爲軍隊合併花費的金幣限額。每日爲軍隊合併花費的金幣限額還剩： {{LEFT}}。
